id,ad_id,session_id,user_ip,timestamp
1896,3,ba9fbad387d0cfd7e2ee4896fd4d48bb,76.241.184.138,1215626686
1897,3,e2943f156cc3dc37290d43477891f586,77.125.78.120,1215627820
1898,3,dd4a99829af2f1468373935ead63e16d,82.170.214.138,1215627870
1899,3,0f7e78b5fc588266d88ae80d057828dc,78.139.137.21,1215629799
1900,3,cee74f1fcc052735af4474364fb0c394,79.177.102.253,1215630346
1901,3,53b27cc22018eea7b5d6786fc7c7de81,79.182.139.145,1215631862
1902,3,6dc734987ea8dc31679c98ce362c062e,84.109.42.41,1215631978
1903,3,1d93d4d8ee7a09a6a78d0be25f46d398,87.69.68.194,1215632794
1904,3,0a982163b4e0280e61ca1c77279236d2,199.203.15.140,1215633708
1905,3,5358a28db05f901d0ff8b66e12450f54,87.68.233.201,1215633809
1906,3,0b12508c8923323275d3d70c9f47678b,217.132.25.88,1215634227
1907,3,e0646da4042756d9a85896bf50d6d795,193.53.87.73,1215635242
1908,3,e0646da4042756d9a85896bf50d6d795,193.53.87.73,1215635235
1909,3,eb442501b062cf6db23036bfea01a695,79.178.109.128,1215635570
1910,3,5b55e7b0a9d514be16d14079fac69d1d,79.178.110.119,1215636260
1911,3,a22202791c4e2987ea5cc88728315a0a,79.181.172.35,1215636316
1912,3,5b55e7b0a9d514be16d14079fac69d1d,79.178.110.119,1215636400
1913,3,758c68b3947f5b6eef2f63743970d5c2,209.226.25.124,1215638732
1914,3,0ce70527a6a1dde9ee977e03c13a5c92,79.176.150.184,1215639013
1915,3,20ff8956042bd5b05c494d6f8deeca8c,85.250.196.23,1215639320
1916,3,cdb909c2e7f832d4eb1161e00791a8b3,84.176.197.220,1215640465
1917,3,2491769bce1c7c3c56ccfe0663e71b06,77.125.20.12,1215641690
1918,3,55e75ace1472a82c0ccd6c73adae0814,87.69.50.194,1215643374
1919,3,2582019250eb8005ed786d8e5ebf1ad3,79.180.235.96,1215643585
1920,3,eb2977b8d1c76e11aba1e889cdba0139,128.139.226.37,1215643672
1921,3,815dbda7a0777a540a0c98f59a12df42,87.69.168.56,1215649255
1922,3,f527e9e72614c52e1723d5dc83af5719,24.62.26.28,1215657544
1923,3,0f7e78b5fc588266d88ae80d057828dc,78.139.137.21,1215658835
1924,3,f1e28e966d99f3c86b8ec257e0b02bf1,92.48.122.161,1215659444
1925,3,ae4fd33aea97566f14637dd4eafa6fbc,80.179.208.161,1215659583
1926,3,646a6cccb9ea97b146f6f0077f8d71e8,78.157.143.159,1215659778
1927,3,68be3dbe3e6d73dc8eeec9f1f8a0e214,209.234.171.38,1215661052
1928,3,55bd38b03f7f9f03b31d3ca122554d9b,89.138.1.212,1215662491
1929,1,b6b9efe021e909d5c2fbfb99706b771c,65.55.209.83,1215663253
1930,3,79b76a2a7886d907edd3d47382023fcd,79.183.103.232,1215663659
1931,3,0dae1c765a23a1581d997e9b043be718,89.138.228.208,1215664947
1932,3,4df350cc8250668d093b3707a60f7431,132.74.99.86,1215665170
1933,3,0a982163b4e0280e61ca1c77279236d2,199.203.15.140,1215666234
1934,3,fad487db4c9985d471e370fd15763500,211.117.62.81,1215666864
1935,3,fad487db4c9985d471e370fd15763500,211.117.62.81,1215666886
1936,3,53b27cc22018eea7b5d6786fc7c7de81,79.182.139.145,1215667854
1937,3,df2fb4c84178d86c81ab44c3d10f0c6e,92.48.122.161,1215669571
1938,3,37a34c9319ddb050d1310fef3f136d4b,84.109.99.95,1215670504
1939,3,c6401b765b966e93aa1df893e276e2eb,89.139.173.66,1215672747
1940,3,2491769bce1c7c3c56ccfe0663e71b06,77.125.20.12,1215672981
1941,3,198af73676531a634b9739113f30247f,78.139.137.21,1215674555
1942,3,2491769bce1c7c3c56ccfe0663e71b06,77.125.20.12,1215674968
1943,3,a1867d5e9e4bbede3f94784c244d7992,217.132.63.18,1215676421
1944,3,6f1096a7e019158adf433d63b4fb0535,89.1.39.218,1215677294
1945,3,198af73676531a634b9739113f30247f,78.139.137.21,1215677392
1946,3,0f7e78b5fc588266d88ae80d057828dc,78.139.137.21,1215677959
1947,3,72f27d8559715bbf28e319bb2ec75bce,84.109.7.116,1215678058
1948,3,eb3027b309b8c0a4867ed85cecac0b39,77.125.17.62,1215678161
1949,3,eb3027b309b8c0a4867ed85cecac0b39,77.125.17.62,1215678256
1950,3,879c8016333c3315ede80b97b8fab834,192.116.207.179,1215679044
1951,3,d832fba816fb8ee614166406a50e50a9,84.109.58.36,1215679749
1952,3,cf7d6603e818693d40c3da8c2f35e89a,79.178.109.128,1215679835
1953,3,edb15afe5353cd8d273e16bcd9e6cf2d,212.25.107.145,1215680862
1954,3,67151002284775443940222eb290ae5c,195.198.187.173,1215681375
1955,3,0993d84063a7af877a6912cbae0ec313,62.219.86.21,1215681744
1956,3,51a088d8bceedd169d387e4b562de420,77.127.238.175,1215681983
1957,3,72f27d8559715bbf28e319bb2ec75bce,84.109.7.116,1215682472
1958,3,4e0063fa996bef3b827bea64ac48d4fb,77.249.219.38,1215682582
1959,3,9021c931d7693d79b1e922d45c509193,80.230.53.16,1215682786
1960,3,6b455c79f68a9d4f2348128344a3b89e,199.203.13.43,1215682797
1961,3,72f27d8559715bbf28e319bb2ec75bce,84.109.7.116,1215683417
1962,3,0b328cc8d082f0ec70ccd527894cb3c2,89.178.183.174,1215683602
1963,3,0b328cc8d082f0ec70ccd527894cb3c2,89.178.183.174,1215683617
1964,3,62c7f7fb7ac9b2e8086ca42d73dc4381,87.68.239.114,1215683857
1965,3,d8fcdd582bd2c659424bfd4364d2444b,80.230.111.167,1215684249
1966,3,18da3bd653f2ac64ffb5d5add40ad755,194.90.80.25,1215684533
1967,3,72f27d8559715bbf28e319bb2ec75bce,84.109.7.116,1215685083
1968,3,85b8c104b5667a969f958a4d773fe485,78.139.137.21,1215686341
1969,1,16a67d847681b9f69cac0d34f2f8c663,209.234.171.38,1215686624
1970,3,43f7ed29ff1ade92e90e1e2d6d867484,79.178.109.128,1215687046
1971,3,a235cd2244c6855fdc92459e58661aa3,79.182.180.106,1215687338
1972,3,da1ab52c3696681ea5fce1ca230bfed8,132.69.142.240,1215687774
1973,3,da1ab52c3696681ea5fce1ca230bfed8,132.69.142.240,1215687835
1974,3,48e53f064db8c98a1fd8f8e54aa476e9,192.116.207.179,1215688894
1975,3,4f97083bdd53f7f16358102dd675a89d,89.138.198.103,1215689785
1976,3,72f27d8559715bbf28e319bb2ec75bce,84.109.7.116,1215690134
1977,3,35fe27fb135a0a0ff100482868e54938,78.157.143.159,1215691036
1978,3,be807c6f3410d72390847f2412b48a8d,124.170.146.113,1215691272
1979,3,43f7ed29ff1ade92e90e1e2d6d867484,79.178.109.128,1215691335
1980,3,b05dc4d7a32325d09f4c741ea3803e80,76.241.184.138,1215691512
1981,3,e041d926272107389e9a0720de2d9675,93.172.16.62,1215692132
